"","ano","mes","ppm"
"249",1979,"set",333.75
"250",1979,"out",333.7
"251",1979,"nov",335.12
"252",1979,"dez",336.56
"253",1980,"jan",337.84
"254",1980,"fev",338.19
"255",1980,"mar",339.91
"256",1980,"abr",340.6
"257",1980,"mai",341.29
"258",1980,"jun",341
"259",1980,"jul",339.39
"260",1980,"ago",337.43
"261",1980,"set",335.72
"262",1980,"out",335.84
"263",1980,"nov",336.93
"264",1980,"dez",338.04
"265",1981,"jan",339.06
"266",1981,"fev",340.3
"267",1981,"mar",341.21
"268",1981,"abr",342.33
"269",1981,"mai",342.74
"270",1981,"jun",342.08
"271",1981,"jul",340.32
"272",1981,"ago",338.26
"273",1981,"set",336.52
"274",1981,"out",336.68
"275",1981,"nov",338.19
"276",1981,"dez",339.44
"277",1982,"jan",340.57
"278",1982,"fev",341.44
"279",1982,"mar",342.53
"280",1982,"abr",343.39
"281",1982,"mai",343.96
"282",1982,"jun",343.18
"283",1982,"jul",341.88
"284",1982,"ago",339.65
"285",1982,"set",337.81
"286",1982,"out",337.69
"287",1982,"nov",339.09
"288",1982,"dez",340.32
"289",1983,"jan",341.2
"290",1983,"fev",342.35
"291",1983,"mar",342.93
"292",1983,"abr",344.77
"293",1983,"mai",345.58
"294",1983,"jun",345.14
"295",1983,"jul",343.81
"296",1983,"ago",342.21
"297",1983,"set",339.69
"298",1983,"out",339.82
"299",1983,"nov",340.98
"300",1983,"dez",342.82
"301",1984,"jan",343.52
"302",1984,"fev",344.33
"303",1984,"mar",345.11
"304",1984,"abr",346.88
"305",1984,"mai",347.25
"306",1984,"jun",346.62
"307",1984,"jul",345.22
"308",1984,"ago",343.11
"309",1984,"set",340.9
"310",1984,"out",341.18
"311",1984,"nov",342.8
"312",1984,"dez",344.04
"313",1985,"jan",344.79
"314",1985,"fev",345.82
"315",1985,"mar",347.25
"316",1985,"abr",348.17
"317",1985,"mai",348.74
"318",1985,"jun",348.07
"319",1985,"jul",346.38
"320",1985,"ago",344.51
"321",1985,"set",342.92
"322",1985,"out",342.62
"323",1985,"nov",344.06
"324",1985,"dez",345.38
"325",1986,"jan",346.11
"326",1986,"fev",346.78
"327",1986,"mar",347.68
"328",1986,"abr",349.37
"329",1986,"mai",350.03
"330",1986,"jun",349.37
"331",1986,"jul",347.76
"332",1986,"ago",345.73
"333",1986,"set",344.68
"334",1986,"out",343.99
"335",1986,"nov",345.48
"336",1986,"dez",346.72
"337",1987,"jan",347.84
"338",1987,"fev",348.29
"339",1987,"mar",349.23
"340",1987,"abr",350.8
"341",1987,"mai",351.66
"342",1987,"jun",351.07
"343",1987,"jul",349.33
"344",1987,"ago",347.92
"345",1987,"set",346.27
"346",1987,"out",346.18
"347",1987,"nov",347.64
"348",1987,"dez",348.78
"349",1988,"jan",350.25
"350",1988,"fev",351.54
"351",1988,"mar",352.05
"352",1988,"abr",353.41
"353",1988,"mai",354.04
"354",1988,"jun",353.62
"355",1988,"jul",352.22
"356",1988,"ago",350.27
"357",1988,"set",348.55
"358",1988,"out",348.72
"359",1988,"nov",349.91
"360",1988,"dez",351.18
"361",1989,"jan",352.6
"362",1989,"fev",352.92
"363",1989,"mar",353.53
"364",1989,"abr",355.26
"365",1989,"mai",355.52
"366",1989,"jun",354.97
"367",1989,"jul",353.75
"368",1989,"ago",351.52
"369",1989,"set",349.64
"370",1989,"out",349.83
"371",1989,"nov",351.14
"372",1989,"dez",352.37
"373",1990,"jan",353.5
"374",1990,"fev",354.55
"375",1990,"mar",355.23
"376",1990,"abr",356.04
"377",1990,"mai",357
"378",1990,"jun",356.07
"379",1990,"jul",354.67
"380",1990,"ago",352.76
"381",1990,"set",350.82
"382",1990,"out",351.04
"383",1990,"nov",352.69
"384",1990,"dez",354.07
"385",1991,"jan",354.59
"386",1991,"fev",355.63
"387",1991,"mar",357.03
"388",1991,"abr",358.48
"389",1991,"mai",359.22
"390",1991,"jun",358.12
"391",1991,"jul",356.06
"392",1991,"ago",353.92
"393",1991,"set",352.05
"394",1991,"out",352.11
"395",1991,"nov",353.64
"396",1991,"dez",354.89
"397",1992,"jan",355.88
"398",1992,"fev",356.63
"399",1992,"mar",357.72
"400",1992,"abr",359.07
"401",1992,"mai",359.58
"402",1992,"jun",359.17
"403",1992,"jul",356.94
"404",1992,"ago",354.92
"405",1992,"set",352.94
"406",1992,"out",353.23
"407",1992,"nov",354.09
"408",1992,"dez",355.33
"409",1993,"jan",356.63
"410",1993,"fev",357.1
"411",1993,"mar",358.32
"412",1993,"abr",359.41
"413",1993,"mai",360.23
"414",1993,"jun",359.55
"415",1993,"jul",357.53
"416",1993,"ago",355.48
"417",1993,"set",353.67
"418",1993,"out",353.95
"419",1993,"nov",355.3
"420",1993,"dez",356.78
"421",1994,"jan",358.34
"422",1994,"fev",358.89
"423",1994,"mar",359.95
"424",1994,"abr",361.25
"425",1994,"mai",361.67
"426",1994,"jun",360.94
"427",1994,"jul",359.55
"428",1994,"ago",357.49
"429",1994,"set",355.84
"430",1994,"out",356
"431",1994,"nov",357.59
"432",1994,"dez",359.05
"433",1995,"jan",359.98
"434",1995,"fev",361.03
"435",1995,"mar",361.66
"436",1995,"abr",363.48
"437",1995,"mai",363.82
"438",1995,"jun",363.3
"439",1995,"jul",361.94
"440",1995,"ago",359.5
"441",1995,"set",358.11
"442",1995,"out",357.8
"443",1995,"nov",359.61
"444",1995,"dez",360.74
"445",1996,"jan",362.09
"446",1996,"fev",363.29
"447",1996,"mar",364.06
"448",1996,"abr",364.76
"449",1996,"mai",365.45
"450",1996,"jun",365.01
"451",1996,"jul",363.7
"452",1996,"ago",361.54
"453",1996,"set",359.51
"454",1996,"out",359.65
"455",1996,"nov",360.8
"456",1996,"dez",362.38
"457",1997,"jan",363.23
"458",1997,"fev",364.06
"459",1997,"mar",364.61
"460",1997,"abr",366.4
"461",1997,"mai",366.84
"462",1997,"jun",365.68
"463",1997,"jul",364.52
"464",1997,"ago",362.57
"465",1997,"set",360.24
"466",1997,"out",360.83
"467",1997,"nov",362.49
"468",1997,"dez",364.34
